i: 990277 -> +00d 03:06:31.50 pm - 0x5895B9AF
0x5895B9AF
0x46008C4F
Copy Prot Place: 4
PreLevel00: 0x46008c4f <<<--- Press enter here
PreLevel01: 0xf856f5d6
PreLevel02: 0x11f09541
Level 1, Step 0108/0244: - RNG: 0xb86ab5ff, IGT: 60:614, Loose: 21, Move: '.......', Room: 2
Level 1, Step 0109/0244: - RNG: 0x71db8c71, IGT: 60:613, Loose: 21, Move: '...R...', Room: 2
Level 1, Step 0110/0244: - RNG: 0x28296673, IGT: 60:612, Loose: 21, Move: '.......', Room: 2
Level 1, Step 0111/0244: - RNG: 0x1d6ee085, IGT: 60:611, Loose: 21, Move: '....U..', Room: 2
Level 1, Step 0112/0244: - RNG: 0x022f7b27, IGT: 60:610, Loose: 21, Move: '.......', Room: 2
Level 1, Step 0113/0244: - RNG: 0x753ebad9, IGT: 60:609, Loose: 21, Move: '.......', Room: 2
Level 1, Step 0114/0244: - RNG: 0xe7e0481b, IGT: 60:608, Loose: 21, Move: '.......', Room: 2
Level 1, Step 0115/0244: - RNG: 0x9fe9614f, IGT: 60:607, Loose: 21, Move: '.......', Room: 3
Level 1, Step 0116/0244: - RNG: 0x7da81241, IGT: 60:606, Loose: 21, Move: '.......', Room: 3
Level 1, Step 0117/0244: - RNG: 0xb1769ac3, IGT: 60:605, Loose: 21, Move: '.......', Room: 3
Level 1, Step 0118/0244: - RNG: 0x9d263755, IGT: 60:604, Loose: 21, Move: '.......', Room: 3
Level 1, Step 0119/0244: - RNG: 0xbfa60877, IGT: 60:603, Loose: 21, Move: '.......', Room: 3
Level 1, Step 0120/0244: - RNG: 0x329232a9, IGT: 60:602, Loose: 21, Move: '.......', Room: 3
Level 1, Step 0121/0244: - RNG: 0xb93bfe6b, IGT: 60:601, Loose: 21, Move: '.......', Room: 3
Level 1, Step 0122/0244: - RNG: 0x14f2f83d, IGT: 60:600, Loose: 21, Move: '.......', Room: 3
